doc_id,doc_type,text
DOC-00021,email,Subject: Softball team merger Due diligence on the new benefits provider starts next week — HR is leading it. The data room (server closet) needs better ventilation before summer. We are closing the downtown office at the end of the quarter.
DOC-00022,email,Subject: Expense reports reminder Book club meets Thursday to discuss this month's novel. The IT helpdesk will perform system maintenance on Saturday night. Lunch is at noon in the cafeteria; today's special is pasta. New security badges are ready for pickup at reception. Parking lot B will be closed for repaving next week.
DOC-00023,memo,Target practice for the charity golf tournament is Thursday afternoon. The tender for the cafeteria contract attracted three bids; winner announced Friday. Please close the deal on the catering contract for the holiday party. The acquisition team for office supplies needs two volunteers. Please clean the data room; the servers are overheating again. Let's close out the deal on parking spots before the garage fills up. The data room audit found three servers needing replacement.
DOC-00024,memo,"Please welcome our new intern, joining the support team on Monday. Team standup moves to 9:30 starting next week. The IT helpdesk will perform system maintenance on Saturday night. Reminder: submit your expense reports by Friday. The elevator will be out of service on Tuesday morning. Happy birthday to Marcus Hale! Cake in the break room at 3pm."
DOC-00025,email,"Subject: IT maintenance Saturday Please welcome our new intern, joining the support team on Monday. Could someone cover my shift on Friday afternoon? The Q2 newsletter is out — great photos from the company picnic. The IT helpdesk will perform system maintenance on Saturday night."
DOC-00026,memo,"Happy birthday to Elena Vasquez! Cake in the break room at 3pm. The Wi-Fi password changed; the new one is on the intranet. The gym on the ground floor has new opening hours. Flu shots will be available in the lobby on Wednesday. Please welcome our new intern, joining the support team on Monday. Parking lot B will be closed for repaving next week."
DOC-00027,email,"Subject: Expense reports reminder The Wi-Fi password changed; the new one is on the intranet. Could someone cover my shift on Friday afternoon? Please welcome our new intern, joining the support team on Monday. Lunch is at noon in the cafeteria; today's special is pasta."
DOC-00028,email,Subject: Expense reports reminder The fire drill is scheduled for Thursday at 10am sharp. Book club meets Thursday to discuss this month's novel. Please water the plants while I'm on vacation — thanks! Team standup moves to 9:30 starting next week. Could someone cover my shift on Friday afternoon? Reminder: submit your expense reports by Friday.
DOC-00029,newsletter,The acquisition will be accretive in year two according to Tom Okafor's model. Please review the updated vacation policy attached to this email. The target's customer contracts require change-of-control consent — start the notices now. Recycling bins are now on every floor — please sort your waste. Team standup moves to 9:30 starting next week. We need antitrust counsel's read on the Horizon acquisition before signing. Sara Lindqvist wants weekly Horizon steering committee updates until close. Project Horizon is moving to due diligence next week; Elena Vasquez asked legal to prepare the data room. Parking lot B will be closed for repaving next week.
DOC-00030,email,Subject: Payroll system integration Please escrow the security deposit for the new downtown office lease. The tender for the cafeteria contract attracted three bids; winner announced Friday. The data room audit found three servers needing replacement. Due diligence on the new benefits provider starts next week — HR is leading it.
DOC-00031,memo,"The elevator will be out of service on Tuesday morning. Please welcome our new intern, joining the support team on Monday. Flu shots will be available in the lobby on Wednesday. Please review the updated vacation policy attached to this email. The gym on the ground floor has new opening hours. The IT helpdesk will perform system maintenance on Saturday night."
DOC-00032,email,Subject: Softball team merger Due diligence on the new benefits provider starts next week — HR is leading it. Our antitrust counsel approved the merger of the two softball leagues. Closing checklist for the office move: label every box with your name. The antitrust compliance training module is mandatory this quarter. We acquired a bigger conference room on the fifth floor for all-hands meetings.
DOC-00033,email,"Subject: Lunch plans Please welcome our new intern, joining the support team on Monday. The Wi-Fi password changed; the new one is on the intranet. The printer on floor 3 is jammed again; IT has been notified. The fire drill is scheduled for Thursday at 10am sharp. The gym on the ground floor has new opening hours. Flu shots will be available in the lobby on Wednesday."
DOC-00034,email,"Subject: Payroll system integration The integration of the new payroll system starts Monday — expect some downtime. Counsel for the softball league will review the new rulebook. The data room (server closet) needs better ventilation before summer. The planning horizon for next year's budget is eighteen months, so start early. The target date for the office move is Friday; label all boxes clearly."
DOC-00035,email,Subject: Lunch plans Please water the plants while I'm on vacation — thanks! Please review the updated vacation policy attached to this email. The IT helpdesk will perform system maintenance on Saturday night.
DOC-00036,contract,The printer on floor 3 is jammed again; IT has been notified. Reminder: submit your expense reports by Friday. New security badges are ready for pickup at reception. Please water the plants while I'm on vacation — thanks! Recycling bins are now on every floor — please sort your waste. The elevator will be out of service on Tuesday morning. Team standup moves to 9:30 starting next week. Don't forget to update your emergency contact information. The gym on the ground floor has new opening hours. Happy birthday to Marcus Hale! Cake in the break room at 3pm. Invoice #4821 is now due; please approve it in the system. Lunch is at noon in the cafeteria; today's special is pasta.
DOC-00037,email,Subject: Department merger update The merger clause in the softball league rules needs a second reading. Tender documents for the parking garage contract are due Friday. The merger of our two softball teams means new jerseys for everyone this season. Due diligence on the Horizon gala theme revealed it was already used in 2019.
DOC-00038,email,"Subject: Parking lot closure The Q2 newsletter is out — great photos from the company picnic. Lunch is at noon in the cafeteria; today's special is pasta. Please review the updated vacation policy attached to this email. Reminder: submit your expense reports by Friday. Please welcome our new intern, joining the support team on Monday."
DOC-00039,memo,"The Wi-Fi password changed; the new one is on the intranet. Merger clearance in the EU will take longer than expected; adjust the closing timeline. Don't forget to update your emergency contact information. The gym on the ground floor has new opening hours. Book club meets Thursday to discuss this month's novel. Recycling bins are now on every floor — please sort your waste. Please welcome our new intern, joining the support team on Monday. We are evaluating a competing bid; keep all Horizon materials privileged and off email."
DOC-00040,memo,The IT helpdesk will perform system maintenance on Saturday night. Timesheets are due by end of day Wednesday. Happy birthday to James Park! Cake in the break room at 3pm. The printer on floor 3 is jammed again; IT has been notified. Flu shots will be available in the lobby on Wednesday.
DOC-00041,email,Subject: Department merger update Closing checklist for the office move: label every box with your name. The data room audit found three servers needing replacement. The tender for the cafeteria contract attracted three bids; winner announced Friday. We are closing the downtown office at the end of the quarter. Please close the deal on the catering contract for the holiday party.
DOC-00042,email,Subject: Payroll system integration Due diligence on the new coffee vendor is done — they passed the taste test. The board's acquisition of new conference chairs was unanimous. The data room audit found three servers needing replacement. The acquisition team for office supplies needs two volunteers. Acquisition of additional server capacity was approved by IT yesterday.
DOC-00043,email,Subject: IT maintenance Saturday Recycling bins are now on every floor — please sort your waste. Team standup moves to 9:30 starting next week. Reminder: submit your expense reports by Friday. Lunch is at noon in the cafeteria; today's special is pasta.
DOC-00044,invoice,Timesheets are due by end of day Wednesday. The IT helpdesk will perform system maintenance on Saturday night. Team standup moves to 9:30 starting next week.
DOC-00045,newsletter,Acquisition of additional server capacity was approved by IT yesterday. The target date for the office move is Friday; label all boxes clearly. Closing checklist for the office move: label every box with your name. Due diligence on the new benefits provider starts next week — HR is leading it. Privileged parking spots on level 1 are reserved for executives. The antitrust compliance training module is mandatory this quarter.
DOC-00046,email,Subject: RE: tender offer docs The numbers David Chen shared change the picture significantly. Please water the plants while I'm on vacation — thanks! Could someone cover my shift on Friday afternoon?
DOC-00047,meeting_notes,The IT helpdesk will perform system maintenance on Saturday night. The gym on the ground floor has new opening hours. Reminder: submit your expense reports by Friday. The fire drill is scheduled for Thursday at 10am sharp. New security badges are ready for pickup at reception. Please water the plants while I'm on vacation — thanks!
DOC-00048,email,Subject: Lunch plans The lobby coffee machine is finally fixed. New security badges are ready for pickup at reception. Please water the plants while I'm on vacation — thanks! Recycling bins are now on every floor — please sort your waste.
DOC-00049,contract,Recycling bins are now on every floor — please sort your waste. Please review the updated vacation policy attached to this email. The IT helpdesk will perform system maintenance on Saturday night. Don't forget to update your emergency contact information. Book club meets Thursday to discuss this month's novel. Reminder: submit your expense reports by Friday. The fire drill is scheduled for Thursday at 10am sharp. Timesheets are due by end of day Wednesday. Team standup moves to 9:30 starting next week. The Wi-Fi password changed; the new one is on the intranet. The gym on the ground floor has new opening hours. The printer on floor 3 is jammed again; IT has been notified.
DOC-00050,invoice,The data room audit found three servers needing replacement. Let's close out the deal on parking spots before the garage fills up. The antitrust compliance training module is mandatory this quarter.
DOC-00051,newsletter,"The fire drill is scheduled for Thursday at 10am sharp. Timesheets are due by end of day Wednesday. The IT helpdesk will perform system maintenance on Saturday night. The lobby coffee machine is finally fixed. New security badges are ready for pickup at reception. The Q2 newsletter is out — great photos from the company picnic. Please water the plants while I'm on vacation — thanks! Happy birthday to Priya Raman! Cake in the break room at 3pm. Please welcome our new intern, joining the support team on Monday."
DOC-00052,email,Subject: Closing checklist — Horizon The elevator will be out of service on Tuesday morning. Book club meets Thursday to discuss this month's novel. Lunch is at noon in the cafeteria; today's special is pasta. Please prioritize the request David Chen sent last night. Recycling bins are now on every floor — please sort your waste.
DOC-00053,memo,The target savings from the energy audit are fifteen percent. The target date for the office move is Friday; label all boxes clearly. The merger of our two softball teams means new jerseys for everyone this season. We approved the acquisition of new office furniture for the Chicago floor. Please clean the data room; the servers are overheating again. Due diligence on the Horizon gala theme revealed it was already used in 2019. Due diligence on the new benefits provider starts next week — HR is leading it. The antitrust compliance training module is mandatory this quarter.
DOC-00054,email,Subject: Lunch plans The printer on floor 3 is jammed again; IT has been notified. Flu shots will be available in the lobby on Wednesday. Team standup moves to 9:30 starting next week.
DOC-00055,meeting_notes,The printer on floor 3 is jammed again; IT has been notified. Reminder: submit your expense reports by Friday. Please water the plants while I'm on vacation — thanks! We need antitrust counsel's read on the Horizon acquisition before signing. Regulatory filings for the merger are due Friday; coordinate with outside counsel.
DOC-00056,email,Subject: Closing checklist — Horizon Don't forget to update your emergency contact information. Integration planning for the Horizon deal starts Monday; HR and IT leads must attend. Escrow terms: 10% of $480M held for 18 months post-closing. The board approved the all-cash offer of $465M for the target. Team standup moves to 9:30 starting next week.
DOC-00057,email,Subject: IT maintenance Saturday Happy birthday to Elena Vasquez! Cake in the break room at 3pm. Parking lot B will be closed for repaving next week. Please review the updated vacation policy attached to this email. The elevator will be out of service on Tuesday morning. The lobby coffee machine is finally fixed.
DOC-00058,email,Subject: Expense reports reminder Please review the updated vacation policy attached to this email. Recycling bins are now on every floor — please sort your waste. Please water the plants while I'm on vacation — thanks! The IT helpdesk will perform system maintenance on Saturday night. Book club meets Thursday to discuss this month's novel.
DOC-00059,newsletter,The fire drill is scheduled for Thursday at 10am sharp. The Q2 newsletter is out — great photos from the company picnic. New security badges are ready for pickup at reception. Please review the updated vacation policy attached to this email. Don't forget to update your emergency contact information.
DOC-00060,meeting_notes,The Wi-Fi password changed; the new one is on the intranet. The IT helpdesk will perform system maintenance on Saturday night. Reminder: submit your expense reports by Friday. The gym on the ground floor has new opening hours.
DOC-00061,email,Subject: Birthday cake in break room Parking lot B will be closed for repaving next week. Please review the updated vacation policy attached to this email. The elevator will be out of service on Tuesday morning. Please water the plants while I'm on vacation — thanks! Don't forget to update your emergency contact information. Recycling bins are now on every floor — please sort your waste.
DOC-00062,contract,Recycling bins are now on every floor — please sort your waste. The elevator will be out of service on Tuesday morning. Lunch is at noon in the cafeteria; today's special is pasta. The IT helpdesk will perform system maintenance on Saturday night. The Q2 newsletter is out — great photos from the company picnic. New security badges are ready for pickup at reception. The lobby coffee machine is finally fixed. The fire drill is scheduled for Thursday at 10am sharp. Please water the plants while I'm on vacation — thanks!
DOC-00063,email,Subject: Lunch plans Happy birthday to James Park! Cake in the break room at 3pm. Team standup moves to 9:30 starting next week. Please review the updated vacation policy attached to this email.
DOC-00064,invoice,New security badges are ready for pickup at reception. Recycling bins are now on every floor — please sort your waste. Please review the updated vacation policy attached to this email. Please water the plants while I'm on vacation — thanks!
DOC-00065,newsletter,"The fire drill is scheduled for Thursday at 10am sharp. The lobby coffee machine is finally fixed. Lunch is at noon in the cafeteria; today's special is pasta. The elevator will be out of service on Tuesday morning. Please welcome our new intern, joining the support team on Monday. Reminder: submit your expense reports by Friday. Recycling bins are now on every floor — please sort your waste. Invoice #4821 is now due; please approve it in the system. The gym on the ground floor has new opening hours."
DOC-00066,email,"Subject: Parking lot closure Please welcome our new intern, joining the support team on Monday. The fire drill is scheduled for Thursday at 10am sharp. Book club meets Thursday to discuss this month's novel. Invoice #4821 is now due; please approve it in the system."
DOC-00067,invoice,Reminder: submit your expense reports by Friday. The fire drill is scheduled for Thursday at 10am sharp. The lobby coffee machine is finally fixed.
DOC-00068,meeting_notes,Could someone cover my shift on Friday afternoon? The Q2 newsletter is out — great photos from the company picnic. The transaction timeline moved up; please adjust your calendars. Lunch is at noon in the cafeteria; today's special is pasta. Happy birthday to Sara Lindqvist! Cake in the break room at 3pm. Book club meets Thursday to discuss this month's novel. I'll brief you on the sensitive matter after the standup. Please review the updated vacation policy attached to this email.
DOC-00069,meeting_notes,"Let's close out the deal on parking spots before the garage fills up. The fairness opinion on the proposed new logo was broadly positive. The 'Horizon' theme for the annual gala was a big hit with staff. We are closing the downtown office at the end of the quarter. Accretive or not, the new espresso machine was worth every penny. Privileged parking spots on level 1 are reserved for executives. The integration of the new payroll system starts Monday — expect some downtime. Please close the deal on the catering contract for the holiday party."
DOC-00070,memo,"Counsel for the softball league will review the new rulebook. Please close the deal on the catering contract for the holiday party. Privileged parking spots on level 1 are reserved for executives. Due diligence on the new coffee vendor is done — they passed the taste test. The CEO's horizon-scanning memo on industry trends is attached for interest. Synergy workshop: cross-team collaboration skills, Thursday at 2pm."
DOC-00071,memo,Book club meets Thursday to discuss this month's novel. Reminder: submit your expense reports by Friday. New security badges are ready for pickup at reception. The Q2 newsletter is out — great photos from the company picnic. Parking lot B will be closed for repaving next week. Happy birthday to James Park! Cake in the break room at 3pm. Please review the updated vacation policy attached to this email. The Wi-Fi password changed; the new one is on the intranet. Could someone cover my shift on Friday afternoon?
DOC-00072,memo,David Chen flagged that the target's IP portfolio is the crown jewel of this acquisition. Employee retention packages for target staff were approved as part of the deal. Invoice #4821 is now due; please approve it in the system. Timesheets are due by end of day Wednesday. Marcus Hale wants weekly Horizon steering committee updates until close. The data room now contains three years of audited financials for due diligence.
DOC-00073,email,Subject: RE: tender offer docs Happy birthday to Dana Whitfield! Cake in the break room at 3pm. I'll brief you on the sensitive matter after the standup. The IT helpdesk will perform system maintenance on Saturday night.
DOC-00074,invoice,New security badges are ready for pickup at reception. Please review the updated vacation policy attached to this email.
DOC-00075,email,Subject: Payroll system integration We are closing the downtown office at the end of the quarter. Counsel for the softball league will review the new rulebook. The warranties on the new printers expire in June — renew them. Due diligence on the new coffee vendor is done — they passed the taste test.
DOC-00076,email,Subject: Department merger update Due diligence on the Horizon gala theme revealed it was already used in 2019. The warranties on the new printers expire in June — renew them. Privileged parking spots on level 1 are reserved for executives. Due diligence on the new coffee vendor is done — they passed the taste test.
DOC-00077,meeting_notes,Tender documents for the parking garage contract are due Friday. Let's close out the deal on parking spots before the garage fills up. The merger of our two softball teams means new jerseys for everyone this season. Due diligence on the Horizon gala theme revealed it was already used in 2019.
DOC-00078,memo,"Please water the plants while I'm on vacation — thanks! Happy birthday to Elena Vasquez! Cake in the break room at 3pm. The gym on the ground floor has new opening hours. Please welcome our new intern, joining the support team on Monday. The lobby coffee machine is finally fixed. The elevator will be out of service on Tuesday morning. The printer on floor 3 is jammed again; IT has been notified. New security badges are ready for pickup at reception. The fire drill is scheduled for Thursday at 10am sharp."
DOC-00079,invoice,Reminder: submit your expense reports by Friday. Could someone cover my shift on Friday afternoon?
DOC-00080,memo,Flu shots will be available in the lobby on Wednesday. Recycling bins are now on every floor — please sort your waste. Book club meets Thursday to discuss this month's novel. Timesheets are due by end of day Wednesday. Lunch is at noon in the cafeteria; today's special is pasta. The Wi-Fi password changed; the new one is on the intranet. The elevator will be out of service on Tuesday morning. Could someone cover my shift on Friday afternoon? The gym on the ground floor has new opening hours.
DOC-00081,email,Subject: Expense reports reminder The gym on the ground floor has new opening hours. Happy birthday to Dana Whitfield! Cake in the break room at 3pm. The Wi-Fi password changed; the new one is on the intranet. Reminder: submit your expense reports by Friday. New security badges are ready for pickup at reception. Don't forget to update your emergency contact information.
DOC-00082,meeting_notes,The IT helpdesk will perform system maintenance on Saturday night. New security badges are ready for pickup at reception. Reminder: submit your expense reports by Friday. The printer on floor 3 is jammed again; IT has been notified. Timesheets are due by end of day Wednesday. Please review the updated vacation policy attached to this email. Happy birthday to Sara Lindqvist! Cake in the break room at 3pm.
DOC-00083,invoice,Please escrow the security deposit for the new downtown office lease. The acquisition team for office supplies needs two volunteers.
DOC-00084,email,Subject: Horizon steering committee Project Horizon is moving to due diligence next week; James Park asked legal to prepare the data room. Flu shots will be available in the lobby on Wednesday. Team standup moves to 9:30 starting next week. Marcus Hale wants weekly Horizon steering committee updates until close. Marcus Hale circulated the merger agreement draft — please redline section 4.2. The fire drill is scheduled for Thursday at 10am sharp.
DOC-00085,email,Subject: Softball team merger The antitrust compliance training module is mandatory this quarter. Due diligence on the new benefits provider starts next week — HR is leading it. Please clean the data room; the servers are overheating again.
DOC-00086,email,Subject: Birthday cake in break room The gym on the ground floor has new opening hours. Please review the updated vacation policy attached to this email. The fire drill is scheduled for Thursday at 10am sharp. Flu shots will be available in the lobby on Wednesday. Recycling bins are now on every floor — please sort your waste.
DOC-00087,meeting_notes,Please water the plants while I'm on vacation — thanks! The IT helpdesk will perform system maintenance on Saturday night. The fire drill is scheduled for Thursday at 10am sharp. Lunch is at noon in the cafeteria; today's special is pasta. The lobby coffee machine is finally fixed. Parking lot B will be closed for repaving next week. The elevator will be out of service on Tuesday morning. Flu shots will be available in the lobby on Wednesday.
DOC-00088,meeting_notes,"The tender for the cafeteria contract attracted three bids; winner announced Friday. The data room (server closet) needs better ventilation before summer. The antitrust compliance training module is mandatory this quarter. Privileged parking spots on level 1 are reserved for executives. Synergy workshop: cross-team collaboration skills, Thursday at 2pm. The data room audit found three servers needing replacement. Due diligence on the Horizon gala theme revealed it was already used in 2019. Tender documents for the parking garage contract are due Friday."
DOC-00089,meeting_notes,The Q2 newsletter is out — great photos from the company picnic. Team standup moves to 9:30 starting next week. Book club meets Thursday to discuss this month's novel. Invoice #4821 is now due; please approve it in the system. Flu shots will be available in the lobby on Wednesday. Please water the plants while I'm on vacation — thanks!
DOC-00090,memo,The Wi-Fi password changed; the new one is on the intranet. Recycling bins are now on every floor — please sort your waste. Timesheets are due by end of day Wednesday. Happy birthday to Priya Raman! Cake in the break room at 3pm. Team standup moves to 9:30 starting next week. The printer on floor 3 is jammed again; IT has been notified. The lobby coffee machine is finally fixed.
DOC-00091,memo,Recycling bins are now on every floor — please sort your waste. Reminder: submit your expense reports by Friday. The Q2 newsletter is out — great photos from the company picnic. The printer on floor 3 is jammed again; IT has been notified. Don't forget to update your emergency contact information. Please water the plants while I'm on vacation — thanks!
DOC-00092,invoice,New security badges are ready for pickup at reception. Happy birthday to David Chen! Cake in the break room at 3pm. Book club meets Thursday to discuss this month's novel.
DOC-00093,newsletter,Please clean the data room; the servers are overheating again. Tender documents for the parking garage contract are due Friday. Please close the deal on the catering contract for the holiday party. The merger clause in the softball league rules needs a second reading. Acquisition of additional server capacity was approved by IT yesterday. Due diligence on the new benefits provider starts next week — HR is leading it. The target savings from the energy audit are fifteen percent. The data room (server closet) needs better ventilation before summer.
DOC-00094,meeting_notes,Please water the plants while I'm on vacation — thanks! The gym on the ground floor has new opening hours. Flu shots will be available in the lobby on Wednesday. The IT helpdesk will perform system maintenance on Saturday night. Recycling bins are now on every floor — please sort your waste. Team standup moves to 9:30 starting next week.
DOC-00095,memo,The lobby coffee machine is finally fixed. Please water the plants while I'm on vacation — thanks! Happy birthday to Elena Vasquez! Cake in the break room at 3pm. Reminder: submit your expense reports by Friday. The gym on the ground floor has new opening hours. Could someone cover my shift on Friday afternoon? Lunch is at noon in the cafeteria; today's special is pasta.
DOC-00096,email,Subject: Board approval: Horizon transaction David Chen asked me to pull the files we discussed yesterday. Please review the updated vacation policy attached to this email. The transaction timeline moved up; please adjust your calendars. The fire drill is scheduled for Thursday at 10am sharp. The numbers Sara Lindqvist shared change the picture significantly. Team standup moves to 9:30 starting next week.
DOC-00097,email,Subject: Parking lot closure Please review the updated vacation policy attached to this email. Happy birthday to James Park! Cake in the break room at 3pm. The Wi-Fi password changed; the new one is on the intranet.
DOC-00098,contract,Parking lot B will be closed for repaving next week. New security badges are ready for pickup at reception. The lobby coffee machine is finally fixed. Team standup moves to 9:30 starting next week. Could someone cover my shift on Friday afternoon? Happy birthday to Elena Vasquez! Cake in the break room at 3pm. The gym on the ground floor has new opening hours. Invoice #4821 is now due; please approve it in the system. Recycling bins are now on every floor — please sort your waste. The fire drill is scheduled for Thursday at 10am sharp. The Wi-Fi password changed; the new one is on the intranet. Lunch is at noon in the cafeteria; today's special is pasta. Don't forget to update your emergency contact information. Timesheets are due by end of day Wednesday.
DOC-00099,meeting_notes,Please diary the Hart-Scott-Rodino filing deadline for the Horizon deal. New security badges are ready for pickup at reception. The tender offer documents reference codename Horizon throughout. The printer on floor 3 is jammed again; IT has been notified.
DOC-00100,email,Subject: Lunch plans Please water the plants while I'm on vacation — thanks! New security badges are ready for pickup at reception. The elevator will be out of service on Tuesday morning.
DOC-00101,newsletter,"Timesheets are due by end of day Wednesday. Please prioritize the request Tom Okafor sent last night. The transaction timeline moved up; please adjust your calendars. Don't forget to update your emergency contact information. Please welcome our new intern, joining the support team on Monday. Flu shots will be available in the lobby on Wednesday."
DOC-00102,email,Subject: Merger agreement draft for review Invoice #4821 is now due; please approve it in the system. Please review the updated vacation policy attached to this email. Employee retention packages for target staff were approved as part of the deal. Flu shots will be available in the lobby on Wednesday. Lunch is at noon in the cafeteria; today's special is pasta.
DOC-00103,email,Subject: IT maintenance Saturday New security badges are ready for pickup at reception. The printer on floor 3 is jammed again; IT has been notified. Flu shots will be available in the lobby on Wednesday. The lobby coffee machine is finally fixed.
DOC-00104,memo,"The IT helpdesk will perform system maintenance on Saturday night. Invoice #4821 is now due; please approve it in the system. Parking lot B will be closed for repaving next week. Don't forget to update your emergency contact information. Please water the plants while I'm on vacation — thanks! Please welcome our new intern, joining the support team on Monday. Please review the updated vacation policy attached to this email."
DOC-00105,memo,"The fire drill is scheduled for Thursday at 10am sharp. The Q2 newsletter is out — great photos from the company picnic. Lunch is at noon in the cafeteria; today's special is pasta. Please welcome our new intern, joining the support team on Monday. Could someone cover my shift on Friday afternoon?"
DOC-00106,email,Subject: Parking lot closure Please review the updated vacation policy attached to this email. Happy birthday to Priya Raman! Cake in the break room at 3pm. Don't forget to update your emergency contact information. The IT helpdesk will perform system maintenance on Saturday night. Please water the plants while I'm on vacation — thanks! Reminder: submit your expense reports by Friday.
